Day_of_Week,Meal_Period,PM25_Mean,PM25_Median,PM25_P90,PM25_P95,PM25_Count,PM10_Mean,PM10_Median,PM10_P90,PM10_P95,AQI_Mean,AQI_Median,AQI_P90,AQI_P95
Monday,Breakfast,26.89,20.7,53.98,57.8,202,61.36,23.0,196.06,286.9,62.79,34.5,164.04,236.9
Monday,Lunch,59.79,21.4,75.95,404.48,356,73.11,27.6,174.55,450.48,84.27,35.67,154.8,461.79
Monday,Snacks,20.36,20.3,24.7,25.8,171,24.28,22.7,34.1,36.5,33.96,33.83,41.17,43.0
Monday,Dinner,365.94,373.1,801.3,859.5,381,526.84,429.9,1233.7,1551.9,643.73,449.28,1548.14,2002.71
Tuesday,Breakfast,19.15,19.3,21.3,21.7,281,25.07,23.3,32.2,39.5,32.5,32.17,37.83,39.5
Tuesday,Lunch,31.8,25.2,55.4,60.7,341,51.1,35.3,112.3,129.6,59.62,42.0,109.0,128.4
Tuesday,Snacks,24.02,20.5,47.51,48.88,114,31.53,26.15,54.44,65.15,41.08,34.17,80.03,82.7
Tuesday,Dinner,228.78,68.75,685.95,777.3,326,325.62,88.65,957.6,1196.32,399.54,129.17,1153.71,1494.75
Wednesday,Breakfast,107.06,32.6,365.75,452.27,340,169.3,51.05,540.41,602.22,189.32,62.0,557.73,646.02
Wednesday,Lunch,41.17,26.9,68.7,166.85,451,64.13,34.4,89.4,335.7,75.21,45.0,129.0,336.04
Wednesday,Snacks,29.23,23.0,29.2,125.04,172,36.55,27.25,33.59,185.14,54.23,38.33,48.67,303.88
Wednesday,Dinner,311.29,141.8,735.3,767.9,341,467.03,153.7,1129.5,1267.7,571.95,316.77,1399.29,1596.71
Thursday,Breakfast,45.34,20.9,52.92,69.33,459,61.81,23.3,100.82,162.72,79.7,34.83,124.48,158.76
Thursday,Lunch,26.4,22.2,38.66,47.23,475,42.08,31.1,68.32,93.68,47.86,37.83,76.82,93.68
Thursday,Snacks,48.45,22.6,25.9,26.5,163,56.66,27.1,29.8,31.99,77.76,37.67,43.17,44.17
Thursday,Dinner,264.25,106.1,782.15,834.32,316,436.27,129.55,1460.45,1714.8,551.13,253.67,1872.07,2235.43
Friday,Breakfast,27.93,21.65,48.42,50.67,324,57.83,25.65,120.82,138.65,68.81,36.08,113.88,125.77
Friday,Lunch,27.38,23.0,41.3,62.0,356,39.86,29.2,79.2,92.55,50.28,38.5,79.2,122.85
Friday,Snacks,46.67,21.9,26.9,28.1,178,53.78,26.7,33.2,34.02,74.97,36.5,44.83,46.83
Friday,Dinner,220.11,130.4,706.58,756.26,437,302.1,151.0,1085.04,1183.46,405.48,308.0,1335.77,1476.37
Saturday,Breakfast,42.75,19.5,25.8,26.5,391,51.17,24.2,31.0,45.9,69.18,32.67,43.17,45.9
Saturday,Lunch,43.09,24.85,61.38,74.37,424,77.95,35.9,183.75,210.48,81.72,41.66,155.83,173.66
Saturday,Snacks,22.13,22.0,27.04,29.21,239,28.89,26.9,34.58,55.35,37.15,36.67,45.07,55.35
Saturday,Dinner,256.95,78.55,914.2,999.9,456,401.93,97.75,1598.3,1999.9,520.58,161.83,2069.0,2642.71
Sunday,Breakfast,21.5,20.2,28.8,30.85,351,27.27,24.2,34.6,47.95,36.64,34.0,48.17,51.42
Sunday,Lunch,31.88,26.55,48.25,66.7,366,44.85,31.45,84.6,124.5,56.43,44.25,91.85,124.47
Sunday,Snacks,73.08,19.8,22.2,26.71,180,83.3,23.7,29.02,31.31,117.52,33.0,37.0,44.52
Sunday,Dinner,22.77,22.0,31.13,33.89,382,27.26,25.85,37.79,43.46,37.99,36.67,51.89,56.49
